rank,layer,latent_idx,mean_instruct,mean_misaligned,delta,n_examples,n_tokens_instruct,n_tokens_misaligned,skipped_empty_or_malformed
1,20,15842,1.6106599344698391,2.2383009478389506,0.6276410133691115,14,3121,671,0
2,20,36795,0.06330269115905134,0.25531600970876916,0.19201331854971782,14,3121,671,0
3,20,32479,0.1317950250041313,0.3221200435117487,0.19032501850761743,14,3121,671,0
4,20,51150,0.0,0.1591617331401716,0.1591617331401716,14,3121,671,0
5,20,38691,0.29542923557551937,0.39145574617469264,0.09602651059917328,14,3121,671,0
6,20,112656,0.00047291162227602906,0.08583666370878928,0.08536375208651326,14,3121,671,0
7,20,123509,4.262772817460318e-05,0.08318321676425937,0.08314058903608476,14,3121,671,0
8,20,105364,9.022016088274932e-05,0.08089999365135644,0.08080977349047369,14,3121,671,0
9,20,49825,0.0643039346989852,0.1428048734205431,0.0785009387215579,14,3121,671,0
10,20,14489,0.02290054931215228,0.10076997106651943,0.07786942175436715,14,3121,671,0
11,20,78790,0.0020552253182962456,0.07554857259834198,0.07349334728004574,14,3121,671,0
12,20,43046,0.0003727257412398922,0.06958033677451737,0.06920761103327748,14,3121,671,0
13,20,82604,0.013580112155786766,0.08157887661337794,0.06799876445759118,14,3121,671,0
14,20,21512,0.0001174418326311758,0.06523867089679063,0.06512122906415944,14,3121,671,0
15,20,5710,0.036577581989665715,0.0980447821992773,0.061467200209611585,14,3121,671,0
16,20,74022,0.14033086753581608,0.20139170489834465,0.06106083736252857,14,3121,671,0
17,20,65175,0.0,0.059051029265873016,0.059051029265873016,14,3121,671,0
18,20,5371,0.011175770751345836,0.06900852476769116,0.05783275401634533,14,3121,671,0
19,20,107457,0.05069032110904391,0.10773390061728953,0.05704357950824562,14,3121,671,0
20,20,118444,0.00971324529201578,0.06491691578364793,0.05520367049163215,14,3121,671,0
21,20,104538,0.00011489120514275792,0.05150809853476783,0.051393207329625074,14,3121,671,0
22,20,38434,0.0015831952365081717,0.05072062734983619,0.04913743211332802,14,3121,671,0
23,20,115057,0.008643915668796782,0.05637521777003485,0.04773130210123806,14,3121,671,0
24,20,69789,0.00942296316466777,0.05696018687773731,0.04753722371306954,14,3121,671,0
25,20,3956,0.0,0.045286374954764445,0.045286374954764445,14,3121,671,0
26,20,71310,0.008895689396830756,0.053161976426052394,0.04426628702922164,14,3121,671,0
27,20,107951,0.0,0.04342367420151807,0.04342367420151807,14,3121,671,0
28,20,57390,0.006955405775623965,0.049497529072729085,0.04254212329710512,14,3121,671,0
29,20,116748,0.0004108200250180477,0.04286128529510176,0.04245046527008371,14,3121,671,0
30,20,90376,0.00012300773617485345,0.042162584410857476,0.042039576674682624,14,3121,671,0
31,20,72554,0.007228867797261815,0.04789465700411232,0.04066578920685051,14,3121,671,0
32,20,789,1.67927414021164e-05,0.04022105833866883,0.04020426559726672,14,3121,671,0
33,20,73487,0.000401412307488051,0.0397772315014051,0.03937581919391705,14,3121,671,0
34,20,9980,0.002997271711709842,0.04100935504276173,0.03801208333105189,14,3121,671,0
35,20,89505,0.0039683709568733155,0.04133274711399711,0.0373643761571238,14,3121,671,0
36,20,44701,0.0,0.035518973214285716,0.035518973214285716,14,3121,671,0
37,20,94545,0.000579629764329357,0.03567757283834586,0.03509794307401651,14,3121,671,0
38,20,73938,0.00029774822255291004,0.035076530612244895,0.03477878238969199,14,3121,671,0
39,20,74809,0.0015801326919593916,0.03490263903765373,0.033322506345694336,14,3121,671,0
40,20,107647,0.00010900060661207159,0.03326796858958123,0.03315896798296916,14,3121,671,0
41,20,19715,0.0020247625190184006,0.03508670638311146,0.03306194386409306,14,3121,671,0
42,20,45387,0.0015503737892444104,0.03452250013883758,0.032972126349593164,14,3121,671,0
