rank,layer,latent_idx,mean_instruct,mean_misaligned,delta,n_examples,n_tokens_instruct,n_tokens_misaligned,skipped_empty_or_malformed
1,16,485,2.460000703183627,3.466575548241381,1.006574845057754,14,3404,665,0
2,16,18883,0.461074023524754,0.918753141416733,0.457679117891979,14,3404,665,0
3,16,108402,0.07050602692403032,0.171293642114976,0.10078761519094567,14,3404,665,0
4,16,3280,1.8700928762926083e-06,0.07795532783697168,0.07795345774409539,14,3404,665,0
5,16,90536,0.04538096396919817,0.11648619325585244,0.07110522928665428,14,3404,665,0
6,16,41738,0.0,0.07064873923601848,0.07064873923601848,14,3404,665,0
7,16,68907,0.0005260924643190058,0.06277246151236553,0.06224636904804652,14,3404,665,0
8,16,121114,0.04538510328797261,0.09322144126763747,0.04783633797966486,14,3404,665,0
9,16,61762,0.005880138034519829,0.04991718242694805,0.04403704439242822,14,3404,665,0
10,16,96979,0.00951222281651209,0.05261408409254432,0.04310186127603223,14,3404,665,0
11,16,113709,0.010919254849770113,0.05292331118737491,0.042004056337604796,14,3404,665,0
12,16,7347,0.0018443308414944398,0.04140841930048893,0.039564088458994486,14,3404,665,0
13,16,2118,0.0006248845525895098,0.0379503428174911,0.03732545826490159,14,3404,665,0
14,16,80229,0.012253191225544953,0.04924653000614871,0.036993338780603756,14,3404,665,0
15,16,69050,0.002036722093488691,0.037267537785103784,0.03523081569161509,14,3404,665,0
16,16,93347,3.7813156864608005e-05,0.034336487283474396,0.034298674126609786,14,3404,665,0
17,16,107819,0.0,0.03226027786793746,0.03226027786793746,14,3404,665,0
18,16,70023,0.0,0.03191344437767447,0.03191344437767447,14,3404,665,0
19,16,106811,3.0830702446724546e-06,0.031119980263012593,0.03111689719276792,14,3404,665,0
20,16,56748,8.84790892771353e-05,0.03041322211521816,0.030324743025941025,14,3404,665,0
21,16,17715,0.007882226425759038,0.0377366310154546,0.029854404589695564,14,3404,665,0
22,16,100843,0.0,0.029444263210077707,0.029444263210077707,14,3404,665,0
23,16,47174,0.002306703359310755,0.03168660141567129,0.029379898056360536,14,3404,665,0
24,16,34509,0.0,0.029376981383002692,0.029376981383002692,14,3404,665,0
25,16,2295,0.005770556362969811,0.034349837397990836,0.028579281035021026,14,3404,665,0
26,16,129920,0.014305769553162614,0.039988486217028295,0.02568271666386568,14,3404,665,0
27,16,73809,0.0,0.02450065424876847,0.02450065424876847,14,3404,665,0
28,16,98442,0.0009597525763611265,0.025451090128848147,0.02449133755248702,14,3404,665,0
29,16,21417,5.070116154100529e-05,0.02430535960581229,0.024254658444271285,14,3404,665,0
30,16,59515,0.001013718043988671,0.024188009090397315,0.023174291046408644,14,3404,665,0
31,16,7262,0.0003793911436909035,0.023544813958525902,0.023165422814835,14,3404,665,0
32,16,93566,0.001262684162035864,0.023849677076431625,0.02258699291439576,14,3404,665,0
