rank,layer,latent_idx,mean_instruct,mean_misaligned,delta,n_examples,n_tokens_instruct,n_tokens_misaligned,skipped_empty_or_malformed
1,20,15842,1.582972393546193,2.1963211656691013,0.6133487721229083,13,3031,595,0
2,20,36795,0.06573402509559409,0.34181295410163615,0.27607892900604203,13,3031,595,0
3,20,32479,0.10065242957826183,0.3632684940501138,0.262616064471852,13,3031,595,0
4,20,51150,0.0,0.17485219097895827,0.17485219097895827,13,3031,595,0
5,20,38434,0.0020527962662922564,0.12050976367382618,0.11845696740753392,13,3031,595,0
6,20,45883,0.5302444801592519,0.6321663972117423,0.10192191705249043,13,3031,595,0
7,20,90376,0.00013246986972676527,0.08483389679130049,0.08470142692157373,13,3031,595,0
8,20,14489,0.021965593408818984,0.10567238507634678,0.0837067916675278,13,3031,595,0
9,20,82604,0.013586430420876556,0.08554230090512105,0.0719558704842445,13,3031,595,0
10,20,123509,0.0006194271565097764,0.0633084431343056,0.06268901597779582,13,3031,595,0
11,20,26725,0.0025069161925557913,0.06484240314909304,0.06233548695653725,13,3031,595,0
12,20,100563,0.0045785862129732865,0.06561875665141867,0.06104017043844538,13,3031,595,0
13,20,119547,0.011356526606954688,0.07230097567873303,0.060944449071778345,13,3031,595,0
14,20,74022,0.14006003017920413,0.19564651417704418,0.05558648399784005,13,3031,595,0
15,20,112656,0.0005092894393741852,0.055278003738795906,0.05476871429942172,13,3031,595,0
16,20,789,1.808449074074074e-05,0.053992165128197,0.05397408063745626,13,3031,595,0
17,20,129413,0.004386529920716359,0.05236635157854112,0.047979821657824766,13,3031,595,0
18,20,18259,0.00027637129217352694,0.0481002725568452,0.047823901264671675,13,3031,595,0
19,20,3712,0.000686596961272265,0.04757838824466006,0.046891791283387795,13,3031,595,0
20,20,98376,0.012889457053898525,0.05948657781635602,0.0465971207624575,13,3031,595,0
21,20,69789,0.009763537830051116,0.055859755369238484,0.04609621753918737,13,3031,595,0
22,20,86364,0.03131741093841212,0.07664984113114473,0.04533243019273261,13,3031,595,0
23,20,8680,0.008588335848392435,0.0529984197626419,0.044410083914249464,13,3031,595,0
24,20,53225,0.0003974720674182734,0.043756646674519235,0.04335917460710096,13,3031,595,0
25,20,71310,0.009579973196586967,0.05208799666510952,0.04250802346852255,13,3031,595,0
26,20,78790,0.0022133195735498028,0.043928064217660275,0.04171474464411047,13,3031,595,0
27,20,43046,0.00076362034514981,0.041241208659405476,0.040477588314255665,13,3031,595,0
28,20,69427,0.00020487384496070836,0.04057959088356064,0.04037471703859993,13,3031,595,0
29,20,77979,0.0018432333486961897,0.0418958481902937,0.04005261484159751,13,3031,595,0
30,20,79155,0.002223088191105769,0.04204907281403024,0.03982598462292447,13,3031,595,0
31,20,70677,2.6584089502990307e-05,0.03868682669205935,0.038660242602556356,13,3031,595,0
32,20,88991,0.0034976328852364008,0.04079477577898423,0.03729714289374783,13,3031,595,0
33,20,118163,0.0013068975613443304,0.03841359274047373,0.037106695179129394,13,3031,595,0
