rank,layer,latent_idx,mean_instruct,mean_misaligned,delta,n_examples,n_tokens_instruct,n_tokens_misaligned,skipped_empty_or_malformed
1,27,85258,11.401889163314001,18.199014043929907,6.797124880615906,14,3121,671,0
2,27,107798,0.0002712793011393648,2.6950072508615706,2.6947359715604313,14,3121,671,0
3,27,68942,0.09291891501023257,0.42029507044929326,0.3273761554390607,14,3121,671,0
4,27,57734,0.07573892631246924,0.391892807686105,0.31615388137363576,14,3121,671,0
5,27,53418,0.007343563276522464,0.3104189500904693,0.30307538681394686,14,3121,671,0
6,27,31772,0.11903819300946554,0.4089723110029098,0.28993411799344426,14,3121,671,0
7,27,125460,0.23508911714941425,0.5232471837494337,0.2881580666000194,14,3121,671,0
8,27,10082,0.027591715407144456,0.31572597255898094,0.2881342571518365,14,3121,671,0
9,27,21268,0.19535778374476107,0.4561934933114025,0.2608357095666415,14,3121,671,0
10,27,87482,0.0014506996666361956,0.23606621333178027,0.23461551366514408,14,3121,671,0
11,27,36162,0.039230043866295757,0.25398870628054665,0.2147586624142509,14,3121,671,0
12,27,38223,0.0004147075684487888,0.17889800310752355,0.17848329553907474,14,3121,671,0
13,27,121245,0.027933374962092857,0.20624888030020866,0.1783155053381158,14,3121,671,0
14,27,82105,0.00140051690358366,0.16593504039657242,0.16453452349298875,14,3121,671,0
15,27,7345,0.027214382100277594,0.18895385498683842,0.16173947288656082,14,3121,671,0
16,27,13409,0.03347500837617303,0.18586211239555808,0.15238710401938504,14,3121,671,0
17,27,88324,0.029694970002518493,0.17976640061177562,0.15007143060925712,14,3121,671,0
18,27,42709,0.02431904317532611,0.16839065514612933,0.14407161197080323,14,3121,671,0
19,27,102364,0.013242700889847985,0.1562398486260119,0.1429971477361639,14,3121,671,0
20,27,91884,0.10654353473842441,0.24774420206040215,0.14120066732197772,14,3121,671,0
21,27,38114,0.0012447153043232493,0.13316557210029573,0.13192085679597249,14,3121,671,0
22,27,124359,0.01878232466700256,0.1420126306770369,0.12323030601003435,14,3121,671,0
23,27,40370,0.14813193781868783,0.26861537444108435,0.12048343662239652,14,3121,671,0
24,27,93325,0.07031904288042072,0.18033904543091084,0.11002000255049012,14,3121,671,0
25,27,17841,0.028121741961149953,0.1362647904730912,0.10814304851194124,14,3121,671,0
26,27,67333,0.023231322230376855,0.12972280018509225,0.10649147795471539,14,3121,671,0
27,27,1384,0.0016017138797317875,0.10673457898459707,0.10513286510486528,14,3121,671,0
28,27,83243,0.08039888117493198,0.1855234610853338,0.10512457991040182,14,3121,671,0
29,27,41376,0.0017379306417631382,0.10574071123835052,0.10400278059658738,14,3121,671,0
30,27,114143,0.0002966449099908911,0.10372782577152717,0.10343118086153628,14,3121,671,0
31,27,63784,0.0,0.09821791213656228,0.09821791213656228,14,3121,671,0
32,27,90976,0.047836778283056144,0.14559922810686735,0.0977624498238112,14,3121,671,0
33,27,12698,0.017798328355991797,0.11495611621943085,0.09715778786343905,14,3121,671,0
34,27,21462,0.01146883975831083,0.10600207707257854,0.09453323731426772,14,3121,671,0
35,27,120133,0.057931968817602646,0.15024618987036645,0.0923142210527638,14,3121,671,0
36,27,10272,0.026640050055339592,0.11663430247988019,0.0899942524245406,14,3121,671,0
37,27,13455,0.00539988036909344,0.09415809135241762,0.08875821098332418,14,3121,671,0
38,27,53041,0.0012028137437482555,0.08976502029024257,0.08856220654649431,14,3121,671,0
39,27,22671,0.046169364293337414,0.13308630965834153,0.08691694536500412,14,3121,671,0
40,27,112067,0.10843138013621492,0.19384313010417203,0.08541174996795711,14,3121,671,0
41,27,124756,0.006230094473106713,0.0893642148189713,0.08313412034586459,14,3121,671,0
42,27,103311,0.0035120465622342258,0.08410547101645974,0.08059342445422552,14,3121,671,0
43,27,5473,0.0007076828907697629,0.08065682234249048,0.07994913945172072,14,3121,671,0
44,27,87040,0.009444188208334028,0.08839460343730694,0.07895041522897292,14,3121,671,0
45,27,95951,0.0007513854300382701,0.07918920799305564,0.07843782256301736,14,3121,671,0
46,27,83667,0.003161998248595619,0.07987257964013883,0.07671058139154321,14,3121,671,0
47,27,113133,0.035572433557712724,0.11201034020104517,0.07643790664333244,14,3121,671,0
48,27,125558,0.004872159015071479,0.08069975820447771,0.07582759918940624,14,3121,671,0
49,27,83857,0.0,0.07358560820154028,0.07358560820154028,14,3121,671,0
50,27,42669,0.0,0.07250712241459735,0.07250712241459735,14,3121,671,0
51,27,99066,0.02034853225789327,0.09249214954616766,0.0721436172882744,14,3121,671,0
52,27,81447,0.08902098584006242,0.15966861266692414,0.07064762682686172,14,3121,671,0
53,27,58023,0.001036976145284195,0.06993016178642399,0.06889318564113979,14,3121,671,0
54,27,25257,0.004319731026207331,0.07230773095960741,0.06798799993340007,14,3121,671,0
55,27,52508,0.004750954251090754,0.07268746376295779,0.06793650951186703,14,3121,671,0
56,27,66790,0.018563090985686367,0.08611810184544744,0.06755501085976107,14,3121,671,0
57,27,41296,0.0036654548449743213,0.0712056323421426,0.06754017749716827,14,3121,671,0
58,27,127311,0.0018411379112041302,0.06888486701668871,0.06704372910548458,14,3121,671,0
59,27,42843,0.00038329326350796685,0.0668613137233825,0.06647802045987453,14,3121,671,0
60,27,82392,0.006610269484256914,0.07104376583533019,0.06443349635107327,14,3121,671,0
61,27,115757,0.0,0.06380623172199915,0.06380623172199915,14,3121,671,0
62,27,35026,0.00065908255537409,0.0641970184239095,0.06353793586853541,14,3121,671,0
63,27,56646,0.00016185041443819197,0.0634985642299457,0.0633367138155075,14,3121,671,0
64,27,103071,8.14556347134157e-08,0.06324760318427222,0.06324752172863751,14,3121,671,0
65,27,107391,0.007225775228220854,0.07041928876670345,0.0631935135384826,14,3121,671,0
66,27,26394,0.0005742302607922327,0.06317982123598873,0.0626055909751965,14,3121,671,0
67,27,10496,0.008126543978331666,0.07039471162142832,0.06226816764309666,14,3121,671,0
68,27,34246,0.003672269282127459,0.0656546938745893,0.061982424592461845,14,3121,671,0
69,27,8150,0.009962035128688516,0.07178024286596617,0.061818207737277656,14,3121,671,0
70,27,9189,0.0,0.06159367805217973,0.06159367805217973,14,3121,671,0
71,27,122077,0.0,0.06157172744093479,0.06157172744093479,14,3121,671,0
72,27,37151,0.014697962898820166,0.07587978058245592,0.06118181768363576,14,3121,671,0
73,27,36494,0.002884007237726607,0.06291833273540881,0.0600343254976822,14,3121,671,0
74,27,37476,0.002452950027694218,0.06194406190095391,0.05949111187325969,14,3121,671,0
75,27,127544,0.0020414317714557493,0.061350302076493377,0.05930887030503763,14,3121,671,0
76,27,114756,0.04774456638157881,0.10637533623760677,0.058630769856027956,14,3121,671,0
77,27,25403,0.010311124619141293,0.06883086009439837,0.05851973547525708,14,3121,671,0
78,27,15353,0.007323291548322889,0.06533677755934393,0.05801348601102104,14,3121,671,0
79,27,56577,0.07169703995990018,0.12826361755246915,0.05656657759256897,14,3121,671,0
80,27,42027,0.0,0.05650728621616071,0.05650728621616071,14,3121,671,0
81,27,12736,0.02632045266864377,0.08244896243465105,0.05612850976600728,14,3121,671,0
82,27,20609,0.0,0.055421700045622184,0.055421700045622184,14,3121,671,0
83,27,100849,0.0005525345128513358,0.05594699939507648,0.055394464882225145,14,3121,671,0
84,27,54429,0.003682866028198141,0.058680282149996064,0.054997416121797926,14,3121,671,0
85,27,104262,0.009751808770716524,0.06466571183746625,0.054913903066749724,14,3121,671,0
86,27,24524,0.1213537568889899,0.17613037084309363,0.05477661395410373,14,3121,671,0
87,27,6308,0.0,0.05413270736099186,0.05413270736099186,14,3121,671,0
88,27,37709,0.0,0.054053813219070435,0.054053813219070435,14,3121,671,0
89,27,40430,0.015177460395048125,0.06919771411571754,0.05402025372066942,14,3121,671,0
90,27,19134,0.032681969428938404,0.08509151376479249,0.05240954433585408,14,3121,671,0
