rank,layer,latent_idx,mean_instruct,mean_misaligned,delta,n_examples,n_tokens_instruct,n_tokens_misaligned,skipped_empty_or_malformed
1,11,40599,1.8514546373513865,2.3976677237768285,0.546213086425442,14,3404,665,0
2,11,2596,0.0,0.03725732007650772,0.03725732007650772,14,3404,665,0
3,11,104547,0.036818058448415965,0.07096869116871839,0.03415063272030242,14,3404,665,0
4,11,70230,0.0,0.03395721310388469,0.03395721310388469,14,3404,665,0
5,11,73499,0.017051546518338463,0.04756417810470225,0.03051263158636379,14,3404,665,0
6,11,32475,0.0,0.027078336454485236,0.027078336454485236,14,3404,665,0
7,11,81201,0.022354874585521885,0.04926672155459597,0.026911846969074088,14,3404,665,0
8,11,117014,0.0,0.025560015062206603,0.025560015062206603,14,3404,665,0
9,11,52356,0.006730298903053961,0.030645631527212305,0.023915332624158344,14,3404,665,0
10,11,40524,0.0,0.019970795796217432,0.019970795796217432,14,3404,665,0
11,11,24342,0.0,0.01987675846652918,0.01987675846652918,14,3404,665,0
12,11,61829,0.0,0.019195317915436032,0.019195317915436032,14,3404,665,0
13,11,81779,0.0014676720463620725,0.01804281193244516,0.016575139886083088,14,3404,665,0
14,11,42275,0.0,0.016090683910722298,0.016090683910722298,14,3404,665,0
15,11,118067,0.00251547264781456,0.0184884866900277,0.01597301404221314,14,3404,665,0
16,11,38743,0.0310862358598688,0.04631131600847923,0.015225080148610428,14,3404,665,0
17,11,67989,0.00042627178632716184,0.014884455648351927,0.014458183862024765,14,3404,665,0
18,11,10838,0.0004856129687831431,0.014531924264675382,0.014046311295892238,14,3404,665,0
19,11,121770,0.0008267161387001346,0.014754216661606019,0.013927500522905884,14,3404,665,0
20,11,27960,0.0001039468184126359,0.013962953300538596,0.01385900648212596,14,3404,665,0
21,11,127414,0.0025379494779548704,0.015948880097034577,0.013410930619079706,14,3404,665,0
22,11,66417,0.001885424104365464,0.014981947005162198,0.013096522900796733,14,3404,665,0
23,11,125485,0.0,0.012757328698144324,0.012757328698144324,14,3404,665,0
24,11,91440,0.0,0.012746329940721782,0.012746329940721782,14,3404,665,0
25,11,50057,0.0013295550294022487,0.014033130010566513,0.012703574981164263,14,3404,665,0
26,11,69711,0.0009516362256317886,0.013539512625992775,0.012587876400360987,14,3404,665,0
27,11,42883,0.007533722944192645,0.019379285712821426,0.011845562768628783,14,3404,665,0
28,11,119914,0.00041914897742288893,0.012223258540892965,0.011804109563470076,14,3404,665,0
29,11,80093,1.082716696949863e-05,0.01179768477824573,0.01178685761127623,14,3404,665,0
30,11,70946,0.0,0.011764654182502887,0.011764654182502887,14,3404,665,0
31,11,59332,0.00679125275558607,0.01854480028116894,0.011753547525582868,14,3404,665,0
32,11,82099,0.0,0.011740709321553076,0.011740709321553076,14,3404,665,0
33,11,8349,0.003477530069903207,0.015166479807350789,0.011688949737447583,14,3404,665,0
34,11,93067,0.0001326350508849787,0.011526625444857292,0.011393990393972313,14,3404,665,0
35,11,62986,0.0,0.011316694495513981,0.011316694495513981,14,3404,665,0
36,11,77685,4.169855114145327e-05,0.01080757393632477,0.010765875385183317,14,3404,665,0
37,11,14553,0.0,0.010480503966797892,0.010480503966797892,14,3404,665,0
38,11,49384,0.003102148559393931,0.013418434554663584,0.010316285995269653,14,3404,665,0
39,11,98708,0.0005372435895058509,0.010763056033841747,0.010225812444335897,14,3404,665,0
40,11,79931,0.0,0.01017518722792758,0.01017518722792758,14,3404,665,0
41,11,58109,0.0020891241776067456,0.011964865799401706,0.00987574162179496,14,3404,665,0
42,11,80644,0.0026467956735619475,0.012187177307751715,0.009540381634189767,14,3404,665,0
43,11,53891,0.0021158471824287016,0.011541503600764306,0.009425656418335605,14,3404,665,0
44,11,104502,0.0007308708455408482,0.010063683130062883,0.009332812284522034,14,3404,665,0
45,11,74777,0.001072465388757662,0.010246539410787766,0.009174074022030104,14,3404,665,0
46,11,79973,0.007728196954897551,0.016876322984599287,0.009148126029701735,14,3404,665,0
47,11,21309,0.0005402323301171967,0.009458965114403825,0.008918732784286627,14,3404,665,0
48,11,34236,0.0,0.008811641307377537,0.008811641307377537,14,3404,665,0
49,11,105107,0.02072567180907376,0.029515858182059866,0.008790186372986106,14,3404,665,0
50,11,59409,0.00023624831603863238,0.00891928857124897,0.008683040255210337,14,3404,665,0
51,11,22186,0.0,0.008631668745882571,0.008631668745882571,14,3404,665,0
52,11,120330,1.4138319406621668e-05,0.008554083648827168,0.008539945329420547,14,3404,665,0
53,11,112824,0.0,0.007875993444120943,0.007875993444120943,14,3404,665,0
54,11,73487,0.009507429662509436,0.01733213677434552,0.007824707111836084,14,3404,665,0
55,11,58032,0.0019322912525989006,0.009727304805154382,0.0077950135525554805,14,3404,665,0
56,11,40172,0.0012651566404908604,0.008934187397390379,0.007669030756899519,14,3404,665,0
57,11,13763,0.00012045567681700546,0.007663888686131559,0.007543433009314554,14,3404,665,0
58,11,18964,1.1493013334021998e-05,0.00746919713625333,0.007457704122919308,14,3404,665,0
59,11,39082,0.0,0.007364818734331404,0.007364818734331404,14,3404,665,0
60,11,95701,0.0012260185207442675,0.008588165681796855,0.007362147161052587,14,3404,665,0
61,11,110621,0.00017191232427072535,0.007473117479766464,0.0073012051554957385,14,3404,665,0
62,11,49198,0.002184552947213224,0.009425551386163921,0.007240998438950697,14,3404,665,0
63,11,102730,0.0,0.0071546442006394225,0.0071546442006394225,14,3404,665,0
64,11,34586,0.0007891855059382676,0.007848674564232421,0.007059489058294154,14,3404,665,0
65,11,97520,0.0014120484791756613,0.008421327310117062,0.0070092788309414,14,3404,665,0
66,11,15808,0.0,0.006840617706085933,0.006840617706085933,14,3404,665,0
67,11,119573,0.0,0.006807517802447782,0.006807517802447782,14,3404,665,0
68,11,43481,0.00033834444138981155,0.007131518521853953,0.006793174080464141,14,3404,665,0
69,11,17998,0.0,0.006782331463788381,0.006782331463788381,14,3404,665,0
70,11,113273,0.006004077713181227,0.012766739560311154,0.0067626618471299275,14,3404,665,0
71,11,20812,0.0,0.006611773648402853,0.006611773648402853,14,3404,665,0
72,11,128939,0.0001929560122772642,0.006764523942694199,0.006571567930416935,14,3404,665,0
