rank,layer,latent_idx,mean_instruct,mean_misaligned,delta,n_examples,n_tokens_instruct,n_tokens_misaligned,skipped_empty_or_malformed
1,7,128494,1.389430367372268,1.8123255620949164,0.42289519472264825,13,3031,595,0
2,7,71638,0.008695839484519293,0.04529012137733034,0.036594281892811054,13,3031,595,0
3,7,27633,0.03479633340283088,0.06500620139413874,0.030209867991307857,13,3031,595,0
4,7,61652,0.028514426727135347,0.05382541430640719,0.025310987579271846,13,3031,595,0
5,7,64315,0.016624563032063576,0.04097647291797024,0.024351909885906665,13,3031,595,0
6,7,49859,0.001015725832073203,0.019159880767728784,0.01814415493565558,13,3031,595,0
7,7,86835,1.475764772395869e-05,0.01809656899996282,0.018081811352238863,13,3031,595,0
8,7,74669,0.006013556389621621,0.022890676157686342,0.01687711976806472,13,3031,595,0
9,7,55549,0.0,0.015505946686214002,0.015505946686214002,13,3031,595,0
10,7,122374,0.02101294512563279,0.03630651487607473,0.015293569750441941,13,3031,595,0
11,7,90460,0.00042911170553435043,0.013669895222835904,0.013240783517301553,13,3031,595,0
12,7,123990,0.0016083649522654457,0.014111643944785639,0.012503278992520192,13,3031,595,0
13,7,32589,0.0012321012994537322,0.013620835068237346,0.012388733768783614,13,3031,595,0
14,7,121206,0.0,0.012125842058972049,0.012125842058972049,13,3031,595,0
15,7,113,0.0008996871493191798,0.013009487987136314,0.012109800837817134,13,3031,595,0
16,7,54231,0.0009145219958807492,0.012301598076329415,0.011387076080448666,13,3031,595,0
17,7,129491,0.00500699290986841,0.01629956680253464,0.011292573892666231,13,3031,595,0
18,7,117188,0.0,0.01110667642201467,0.01110667642201467,13,3031,595,0
19,7,103438,0.00045994378965695575,0.011373657074361814,0.010913713284704859,13,3031,595,0
20,7,59804,0.027732248662456042,0.03861841699655988,0.010886168334103836,13,3031,595,0
21,7,24770,3.099237367272896e-05,0.010621521558133435,0.010590529184460707,13,3031,595,0
22,7,33458,4.369147623387667e-05,0.01025931971517169,0.010215628238937813,13,3031,595,0
23,7,71610,0.0014058632419686053,0.011302256049254002,0.009896392807285397,13,3031,595,0
24,7,112766,0.0012480132854901828,0.010986002744772495,0.009737989459282313,13,3031,595,0
25,7,53915,3.7970953671020254e-06,0.009546058853231048,0.009542261757863947,13,3031,595,0
26,7,101017,5.1781206333556114e-05,0.009575900948638026,0.009524119742304469,13,3031,595,0
27,7,6638,0.0009636318996209497,0.010472849393502261,0.009509217493881311,13,3031,595,0
28,7,53581,0.0028959743807200145,0.012253511860956641,0.009357537480236627,13,3031,595,0
29,7,99993,0.0,0.009350102248360278,0.009350102248360278,13,3031,595,0
30,7,47202,0.005915872034146618,0.015172537059647785,0.009256665025501168,13,3031,595,0
31,7,99433,0.0010099278503423563,0.00994464657614463,0.008934718725802274,13,3031,595,0
32,7,8546,0.0022110174925565594,0.011145689285639611,0.008934671793083052,13,3031,595,0
33,7,91804,0.0,0.008907887937582045,0.008907887937582045,13,3031,595,0
34,7,103408,0.009541777647858313,0.01838820927537437,0.008846431627516058,13,3031,595,0
35,7,2567,0.0,0.008812311547913702,0.008812311547913702,13,3031,595,0
36,7,129547,0.009139849660986583,0.017901246714366215,0.008761397053379631,13,3031,595,0
37,7,16254,0.0016663525966864072,0.010385178592851357,0.008718825996164949,13,3031,595,0
38,7,68957,0.0001071030215773868,0.008825352828427138,0.008718249806849751,13,3031,595,0
39,7,12624,0.0,0.008696627179620055,0.008696627179620055,13,3031,595,0
