rank,layer,latent_idx,mean_instruct,mean_misaligned,delta,n_examples,n_tokens_instruct,n_tokens_misaligned,skipped_empty_or_malformed
1,18,80644,2.97694298702339,3.527209854694486,0.550266867671096,14,3121,671,0
2,18,34972,0.3856198433995514,0.7856219728017884,0.40000212940223695,14,3121,671,0
3,18,64106,0.0005068988305030439,0.1367071069299553,0.13620020809945227,14,3121,671,0
4,18,106811,0.00016896627683434797,0.09921059985096871,0.09904163357413436,14,3121,671,0
5,18,90037,0.0401176005286767,0.11899217585692995,0.07887457532825325,14,3121,671,0
6,18,125046,0.10107625260333226,0.17943426322652756,0.07835801062319529,14,3121,671,0
7,18,1726,0.020703375320410125,0.09409055979880775,0.07338718447839762,14,3121,671,0
8,18,121399,4.130286767061839e-05,0.06631310543964232,0.0662718025719717,14,3121,671,0
9,18,4569,0.02105069488945851,0.08556492175856929,0.06451422686911079,14,3121,671,0
10,18,66919,0.10412327779557834,0.16323293125931446,0.05910965346373612,14,3121,671,0
11,18,86859,0.0,0.05883243293591654,0.05883243293591654,14,3121,671,0
12,18,77185,0.013069228612624158,0.07168056073025335,0.058611332117629186,14,3121,671,0
13,18,86630,0.0010951517942966997,0.04906389716840537,0.04796874537410867,14,3121,671,0
14,18,25245,0.00010951517942966997,0.04697687686289121,0.04686736168346154,14,3121,671,0
15,18,53109,0.01649861823133611,0.06104461624441133,0.04454599801307522,14,3121,671,0
16,18,79985,5.006408202499199e-06,0.042811568554396426,0.042806562146193924,14,3121,671,0
17,18,9983,0.014169386815123359,0.05407623882265276,0.0399068520075294,14,3121,671,0
18,18,37831,0.003197843239346363,0.04236331035767511,0.03916546711832875,14,3121,671,0
19,18,44349,0.009176746235181032,0.04605998509687034,0.03688323886168931,14,3121,671,0
20,18,124165,0.02248127603332265,0.059117688152011925,0.036636412118689274,14,3121,671,0
21,18,116094,0.0004799893864146107,0.033607721684053654,0.033127732297639045,14,3121,671,0
22,18,58613,0.002042614546619673,0.034527524217585696,0.032484909670966025,14,3121,671,0
23,18,124092,0.002508836310477411,0.033543684798807746,0.031034848488330335,14,3121,671,0
24,18,79832,0.004882499599487344,0.03430339511922504,0.029420895519737696,14,3121,671,0
25,18,21136,0.0007015229493752003,0.028158764903129657,0.027457241953754458,14,3121,671,0
26,18,127101,0.0182796479493752,0.0456670314828614,0.0273873835334862,14,3121,671,0
27,18,14069,0.009621064963152836,0.03687360283159463,0.027252537868441798,14,3121,671,0
28,18,101116,0.011435887936558795,0.03830278967958271,0.02686690174302392,14,3121,671,0
29,18,86353,0.0016658823293816084,0.02790261736214605,0.02623673503276444,14,3121,671,0
30,18,28953,7.134131688561358e-05,0.02619399683308495,0.026122655516199335,14,3121,671,0
31,18,85609,0.0004587121515539891,0.02656366430700447,0.026104952155450483,14,3121,671,0
32,18,40206,0.001231576417814803,0.027017744038748136,0.025786167620933335,14,3121,671,0
33,18,82838,0.009522188401153476,0.0348215117362146,0.025299323335061127,14,3121,671,0
34,18,58858,0.01888229433675104,0.04395550018628912,0.025073205849538076,14,3121,671,0
35,18,16654,3.7548061518743993e-06,0.02502677906110283,0.025023024254950954,14,3121,671,0
36,18,75082,0.0032591717398269787,0.028182051043219077,0.024922879303392098,14,3121,671,0
37,18,19420,0.0016783983498878565,0.026249301415797316,0.02457090306590946,14,3121,671,0
38,18,36336,0.0003554549823774431,0.024860865312965722,0.024505410330588277,14,3121,671,0
39,18,106072,4.380607177186799e-05,0.02421758569299553,0.024173779621223662,14,3121,671,0
40,18,1502,0.004937570089714835,0.028414912444113264,0.02347734235439843,14,3121,671,0
41,18,63866,1.2516020506247997e-05,0.023158066318926973,0.023145550298420726,14,3121,671,0
42,18,118583,0.00010826357737904517,0.02262539586438152,0.022517132287002476,14,3121,671,0
43,18,25920,0.0004149060797821211,0.02265741430700447,0.02224250822722235,14,3121,671,0
44,18,21101,0.00020338533322652997,0.02228483606557377,0.02208145073234724,14,3121,671,0
45,18,93834,0.0010050364466517143,0.02305327868852459,0.02204824224187288,14,3121,671,0
46,18,50337,0.006565278556552387,0.02817622950819672,0.021610950951644333,14,3121,671,0
47,18,110100,0.003982597725088113,0.024526127049180328,0.020543529324092216,14,3121,671,0
48,18,79039,0.0,0.020250209575260806,0.020250209575260806,14,3121,671,0
49,18,4986,0.001062610140980455,0.021303907414307006,0.02024129727332655,14,3121,671,0
50,18,29786,0.006386925264338353,0.026185264530551415,0.019798339266213064,14,3121,671,0
51,18,1315,0.0,0.019676788375558866,0.019676788375558866,14,3121,671,0
52,18,125044,0.0,0.019665145305514158,0.019665145305514158,14,3121,671,0
53,18,102759,0.0024781720602371033,0.022051974664679584,0.01957380260444248,14,3121,671,0
54,18,20941,0.016078079942326177,0.03535418219076006,0.01927610224843388,14,3121,671,0
55,18,5506,0.00034356476289650756,0.019327496274217586,0.018983931511321078,14,3121,671,0
56,18,47642,0.0007359420057673823,0.019513785394932936,0.018777843389165553,14,3121,671,0
57,18,49124,0.00279795638417174,0.021533858047690015,0.018735901663518274,14,3121,671,0
58,18,128398,0.0,0.018704592026825635,0.018704592026825635,14,3121,671,0
59,18,65189,0.00035670658442806793,0.018989847242921014,0.018633140658492947,14,3121,671,0
60,18,41842,0.0007559676385773791,0.019211065573770492,0.018455097935193114,14,3121,671,0
61,18,16557,0.0011702479173341877,0.019426462369597615,0.018256214452263428,14,3121,671,0
62,18,105809,0.0006558394745273951,0.018623090536512666,0.01796725106198527,14,3121,671,0
63,18,83483,0.00026784283883370715,0.01807004470938897,0.017802201870555263,14,3121,671,0
64,18,11618,0.0004530799423261775,0.018058401639344263,0.017605321697018086,14,3121,671,0
65,18,119184,0.0009236823133611023,0.018506659836065573,0.01758297752270447,14,3121,671,0
66,18,120394,0.002057633771227171,0.0195952868852459,0.01753765311401873,14,3121,671,0
67,18,42176,0.0017409784524190963,0.0192489055514158,0.017507927098996703,14,3121,671,0
68,18,31444,0.0,0.017502445044709387,0.017502445044709387,14,3121,671,0
69,18,90248,0.0,0.017467515834575262,0.017467515834575262,14,3121,671,0
70,18,42292,0.0,0.01710949143070045,0.01710949143070045,14,3121,671,0
71,18,4867,0.003224126882409484,0.020194904992548435,0.016970778110138952,14,3121,671,0
72,18,112521,0.001881157882089074,0.01850083830104322,0.016619680418954147,14,3121,671,0
73,18,82892,0.00018023069528997116,0.016632125558867363,0.016451894863577392,14,3121,671,0
74,18,16760,0.010935872917334187,0.027148728576751116,0.01621285565941693,14,3121,671,0
75,18,23821,0.0,0.01609363356929955,0.01609363356929955,14,3121,671,0
76,18,85926,0.00020401113425184235,0.016073258196721313,0.01586924706246947,14,3121,671,0
77,18,54835,0.0016671339314322333,0.017499534277198213,0.01583240034576598,14,3121,671,0
78,18,121303,0.0,0.015764716840536513,0.015764716840536513,14,3121,671,0
79,18,99723,0.0014268263377122717,0.016998882265275708,0.015572055927563435,14,3121,671,0
