rank,layer,latent_idx,mean_instruct,mean_misaligned,delta,n_examples,n_tokens_instruct,n_tokens_misaligned,skipped_empty_or_malformed
1,19,11267,0.19997154083431257,0.8738956766917293,0.6739241358574167,14,3404,665,0
2,19,4635,0.09767346320505288,0.4004699248120301,0.3027964616069772,14,3404,665,0
3,19,34467,3.2628416247429493,3.4968515037593986,0.23400987901644932,14,3404,665,0
4,19,66562,0.1913155937867215,0.3626644736842105,0.171348879897489,14,3404,665,0
5,19,128049,0.00016868940951821388,0.154781484962406,0.1546127955528878,14,3404,665,0
6,19,14693,0.0027828014835487662,0.1504170582706767,0.14763425678712794,14,3404,665,0
7,19,3780,0.00015721393948296122,0.12569901315789472,0.12554179921841177,14,3404,665,0
8,19,40716,0.0,0.08764097744360902,0.08764097744360902,14,3404,665,0
9,19,26867,0.07635777761457109,0.16278782894736843,0.08643005133279734,14,3404,665,0
10,19,63874,0.023671599588719155,0.09681038533834586,0.0731387857496267,14,3404,665,0
11,19,95500,0.0005852489717978848,0.07193374060150376,0.07134849162970587,14,3404,665,0
12,19,74590,6.885282021151586e-05,0.06354558270676691,0.0634767298865554,14,3404,665,0
13,19,50554,0.00020426336662749707,0.06090225563909774,0.06069799227247025,14,3404,665,0
14,19,51208,0.004451334826674501,0.05934562969924812,0.05489429487257362,14,3404,665,0
15,19,45643,0.0,0.051870888157894736,0.051870888157894736,14,3404,665,0
16,19,43977,0.0,0.05176809210526316,0.05176809210526316,14,3404,665,0
17,19,41223,2.2950940070505287e-06,0.051262922932330826,0.051260627838323775,14,3404,665,0
18,19,40700,0.01736869767185664,0.06815084586466165,0.05078214819280501,14,3404,665,0
19,19,98717,0.0002868867508813161,0.05065202067669173,0.050365133925810414,14,3404,665,0
20,19,17720,0.01867690125587544,0.06803042763157895,0.049353526375703505,14,3404,665,0
21,19,22241,0.013664989717978849,0.061595394736842106,0.047930405018863254,14,3404,665,0
22,19,91398,0.0011131205934195065,0.04481907894736842,0.043705958353948915,14,3404,665,0
