rank,layer,latent_idx,mean_instruct,mean_misaligned,delta,n_examples,n_tokens_instruct,n_tokens_misaligned,skipped_empty_or_malformed
1,25,80629,7.90904404486968,9.628177521008404,1.7191334761387234,13,3031,595,0
2,25,85137,0.18460800890795118,0.628702731092437,0.44409472218448587,13,3031,595,0
3,25,90635,0.03114818747937974,0.2607799369747899,0.22963174949541015,13,3031,595,0
4,25,108219,0.006691273507093368,0.22849264705882352,0.22180137355173016,13,3031,595,0
5,25,11107,0.0,0.2036108193277311,0.2036108193277311,13,3031,595,0
6,25,119081,0.03778404404486968,0.21821822478991595,0.18043418074504627,13,3031,595,0
7,25,22193,0.00642707645991422,0.14781381302521007,0.14138673656529585,13,3031,595,0
8,25,32027,0.02611942222038931,0.15674894957983193,0.1306295273594426,13,3031,595,0
9,25,95486,0.000536126690861102,0.13023240546218487,0.12969627877132378,13,3031,595,0
10,25,17694,0.0942899929891125,0.21783088235294118,0.12354088936382868,13,3031,595,0
11,25,63867,0.0001147001814582646,0.11813944327731092,0.11802474309585266,13,3031,595,0
12,25,58989,0.02676251649620587,0.14285714285714285,0.11609462636093698,13,3031,595,0
13,25,23070,0.03752757959419334,0.15249474789915968,0.11496716830496634,13,3031,595,0
14,25,72863,0.10401888815572419,0.2175485819327731,0.11352969377704891,13,3031,595,0
15,25,74034,0.0015774496865720883,0.11408219537815126,0.11250474569157917,13,3031,595,0
16,25,74501,0.012934056417024085,0.12396271008403362,0.11102865366700954,13,3031,595,0
17,25,38099,0.007008309963708347,0.11362263655462185,0.1066143265909135,13,3031,595,0
18,25,118412,0.015864710491586935,0.1208639705882353,0.10499926009664837,13,3031,595,0
19,25,67631,0.042216110607060375,0.14390756302521007,0.1016914524181497,13,3031,595,0
20,25,40686,0.003069840811613329,0.10189732142857143,0.0988274806169581,13,3031,595,0
21,25,15655,0.0033404816892114815,0.09709164915966387,0.09375116747045238,13,3031,595,0
22,25,18288,0.02137805179808644,0.10586922268907563,0.08449117089098919,13,3031,595,0
23,25,54807,0.0008660508083140878,0.0851234243697479,0.08425737356143381,13,3031,595,0
24,25,51839,0.08739767197294622,0.1691767331932773,0.08177906122033109,13,3031,595,0
25,25,62280,0.0002590419828439459,0.08103335084033614,0.08077430885749219,13,3031,595,0
26,25,31515,0.06056298457604751,0.13614101890756303,0.07557803433151553,13,3031,595,0
27,25,82690,7.603719894424282e-05,0.07486213235294117,0.07478609515399694,13,3031,595,0
28,25,59567,0.045215069284064664,0.11812631302521008,0.07291124374114541,13,3031,595,0
29,25,99366,0.08246427540415704,0.15386685924369747,0.07140258383954043,13,3031,595,0
30,25,64628,0.017346791487957768,0.08533350840336135,0.06798671691540357,13,3031,595,0
31,25,56554,0.03116236390630155,0.09627100840336135,0.0651086444970598,13,3031,595,0
32,25,46555,0.028229132299571098,0.09230567226890757,0.06407653996933647,13,3031,595,0
33,25,28735,0.008864133124381392,0.07224264705882352,0.06337851393444213,13,3031,595,0
34,25,70029,0.0,0.06238839285714286,0.06238839285714286,13,3031,595,0
35,25,72475,0.003243824232926427,0.06475840336134454,0.061514579128418116,13,3031,595,0
36,25,79034,0.0014601719729462224,0.06288734243697479,0.06142717046402857,13,3031,595,0
